TEAM,GP,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Boston Celtics,21,17,4,0.81,48.5,121.3,43,86.7,49.6,16.7,41.4,40.3,18.7,21.9,85.2,7.9,33.8,41.7,27.3,13.3,5.8,5.4,3.6,20.8,20.4,8.4
Milwaukee Bucks,19,14,5,0.737,48.5,112.5,41.1,89.8,45.7,13.2,37.4,35.2,17.2,24.1,71.4,11.7,36.8,48.6,24.5,15.3,7.2,6.4,5.1,19.5,20.4,4.8
Phoenix Suns,20,14,6,0.7,48.3,115,43.1,90.7,47.5,12.2,32.9,37.1,16.7,20.6,81,11.8,31.6,43.4,27.3,13.4,7.6,6,4.2,21.5,20.1,6.8
Denver Nuggets,20,13,7,0.65,48.3,115.2,43.2,86.9,49.7,12.3,30.8,39.8,16.7,22.1,75.5,10.7,33.1,43.7,27.9,15.2,7.2,4.3,4.5,19.6,20.3,1.5
Cleveland Cavaliers,21,13,8,0.619,49.2,112.9,40.5,85.4,47.5,12,31.6,38,19.9,24.6,80.7,10.2,33.7,43.9,23.6,14.8,6,4.1,4.7,20.1,23.3,5.9
Indiana Pacers,20,12,8,0.6,48,115.7,40.9,90.4,45.3,14.7,41,35.9,19.2,24.1,79.8,10.9,32.7,43.5,28.1,15.6,8,6.6,5.8,21.6,20.6,1.4
Memphis Grizzlies,20,12,8,0.6,48.5,115.7,43,92.9,46.3,12.5,34.3,36.3,17.3,24.8,69.9,13.8,34.5,48.2,24.6,14.3,6.8,5.2,5.4,20.1,22.4,1.4
New Orleans Pelicans,20,12,8,0.6,48.8,116.7,43.5,89.7,48.4,11.4,30.3,37.6,18.4,23.5,78.3,11.6,33.3,44.9,27.1,14.8,8.7,4.5,5.2,19.8,19.8,5.5
LA Clippers,22,13,9,0.591,48,107,39.3,82.4,47.7,11.3,31.4,36,17,23,73.9,8.2,35,43.2,23,16,6.5,4.8,4.3,20.1,20,-0.1
Philadelphia 76ers,21,12,9,0.571,48,109.4,39.3,82.7,47.5,12.1,32.3,37.5,18.8,23.2,80.7,8.2,32.1,40.3,23.5,14.2,8.5,4.8,5,19.8,19.4,3.7
Toronto Raptors,20,11,9,0.55,48.3,110.8,40.5,91,44.5,10.9,32.7,33.4,19,24.2,78.5,13.5,30.9,44.4,23,12.9,10.2,5.6,5.5,20.5,21.1,2.3
Sacramento Kings,19,10,9,0.526,48.3,119,42.9,87.1,49.3,13.6,37.1,36.6,19.6,24.7,79.5,8,33,41,27.9,15.1,7.1,3.2,4.6,20.8,21.6,1.6
Atlanta Hawks,21,11,10,0.524,48.5,113.4,42.7,92.5,46.2,9.7,29.5,32.9,18.2,22,82.9,10.9,33.5,44.4,23.8,13.3,7.3,5,5.4,20.3,21.6,-0.4
Portland Trail Blazers,21,11,10,0.524,48.5,109.8,38.9,83.3,46.6,12.1,31.8,38.2,20,26,76.9,10.5,32.2,42.8,23.7,15.5,6.7,4.1,4.7,19.5,22.6,-0.9
Washington Wizards,21,11,10,0.524,48.5,110.5,41.4,87.3,47.4,11.1,32.2,34.5,16.7,21.4,78,9.2,34.7,43.9,25.1,13.4,6.5,6,4.3,19.9,19.6,-0.9
Utah Jazz,23,12,11,0.522,48.4,116.7,42.7,90.4,47.2,14.7,39.8,36.9,16.6,21.5,77.3,12,31.9,43.9,27.4,15.6,7.5,5,5.2,21.2,20.4,1.2
Brooklyn Nets,22,11,11,0.5,48.2,111.5,41.3,83,49.8,12,32.3,37.2,16.9,21.1,80,7.4,32.8,40.2,26.5,14.8,7,7.3,4,22,18.7,0.7
Dallas Mavericks,20,10,10,0.5,48.5,109.4,38.7,82.7,46.7,13.6,39.4,34.4,18.6,25.5,72.7,7.7,30.5,38.2,21.2,12.9,8.1,3.3,4.9,20.7,23.1,1.8
Golden State Warriors,22,11,11,0.5,48.2,117.5,43.1,89.3,48.2,16.1,42.9,37.6,15.2,18.9,80.5,9.1,33.5,42.6,29.7,17.1,7.3,4,3.6,23,18.5,0.3
Miami Heat,21,10,11,0.476,48.5,108.4,38.4,85.8,44.8,11.7,35.1,33.2,20,23.6,84.8,9.4,31.9,41.2,24,14,7.5,3.5,4.5,19,21.4,-0.5
Minnesota Timberwolves,21,10,11,0.476,48.2,114.6,42.1,87.4,48.2,11.1,34,32.7,19.3,24.4,79.1,9.9,33.9,43.8,26.6,16.5,7.8,5.4,3.9,22.1,21.2,-1.3
New York Knicks,21,10,11,0.476,48.7,115.8,42.3,92.4,45.8,11.2,34.6,32.3,20,25,80.2,12.6,33.5,46.1,24.3,13.7,7.3,4.8,5,22.4,21.8,-0.8
Chicago Bulls,20,9,11,0.45,48.3,112,41.2,87.7,46.9,10.6,29.1,36.3,19.2,23,83.3,10.2,33.3,43.5,24.7,14.8,7.6,5.4,6.2,20.1,19.4,0.3
Oklahoma City Thunder,21,8,13,0.381,49.2,115.9,43.6,94.8,46,11.7,34.8,33.6,17,21.6,78.9,12,32.4,44.4,24.4,13.9,8.2,6,5.8,22.1,19.6,-1.8
Los Angeles Lakers,19,7,12,0.368,48.3,112.3,41,88.3,46.5,9.6,30.1,32,20.7,25.6,80.9,9.5,36.2,45.7,24.1,15.4,7,5.2,5.5,19.1,21.4,-2.2
Charlotte Hornets,21,6,15,0.286,49.2,109.2,41.3,92.6,44.6,10.4,32.5,32,16.2,22.3,72.7,12.6,32.9,45.5,25.3,15.4,7.6,5,7.1,21,20.9,-6.2
San Antonio Spurs,21,6,15,0.286,48.2,110.6,42.2,91.4,46.2,12,34.2,35.1,14.2,19.8,71.9,12,30.3,42.3,28.3,16.7,7.5,4.4,4.5,19.6,18.7,-10.4
Houston Rockets,20,5,15,0.25,48,110.3,38.9,87.7,44.3,12.7,35.9,35.4,19.9,25.7,77.6,13.5,33,46.4,22,18.2,7.8,4.9,6.2,21.1,22.5,-6.1
Orlando Magic,21,5,16,0.238,48.2,108.3,39.2,83.9,46.8,10.8,31.7,33.9,19.1,24.4,78.2,10.1,33.1,43.3,21,16.5,6.2,5.5,4.8,21.2,20.5,-5.6
Detroit Pistons,23,5,18,0.217,48,109.1,38.7,87.3,44.3,10.7,32.3,33.2,21,27,77.9,11.3,30.9,42.2,21.4,14.4,6.7,4,6.3,22.8,21.8,-8.6